year,GDP growth (annual %)
1960,3.163291684
1961,7.425384774
1962,5.349546457
1963,6.642894415
1964,6.316714176
1965,6.704991764
1966,3.091205962
1967,4.995666605
1968,5.045456367
1969,11.64409033
1970,4.018844935
1971,5.519670065
1972,6.728641388
1973,3.357775972
1974,1.545403346
1975,5.889275827
1976,3.534826706
1977,3.735976372
1978,3.725199415
1979,2.17719916
1980,3.415065255
1981,-3.166150267
1982,2.562253598
1983,5.898569425
1984,4.737680793
1985,2.121480841
1986,4.072015759
1987,4.410839068
1988,2.337329746
1989,0.202947863
1990,-2.091055179
1991,0.890466255
1992,2.657706883
1993,4.494049243
1994,2.682328303
1995,1.688961208
1996,4.280166863
1997,3.89288653
1998,5.14100348
1999,5.138539186
2000,1.875098132
2001,2.99925535
2002,1.806385135
2003,3.092363835
2004,3.210454357
2005,2.6379438
2006,2.049904611
2007,0.99540631
2008,-2.915086239
2009,3.090806374
2010,3.13719439
2011,1.755661325
2012,2.325813574
2013,2.873466772
2014,0.649970994
2015,1.038550935
2016,3.033834903
2017,2.742963431
2018,1.908431925
2019,-5.038233441
2020,5.286956891
2021,3.819866339
2022,
2023,
