Building Key,GHG Quantity 1 Most Likely,Units,mm_split_labels,labels_general,ghg_per_unit,year
1,91893.92546,1,Single Family,Single Family,91893.92546,2023
2,33548.45396,1,Single Family,Single Family,33548.45396,2023
3,57770.70681,1,Single Family,Single Family,57770.70681,2023
4,33738.06211,1,Single Family,Single Family,33738.06211,2023
7,51151.74255,1,Single Family,Single Family,51151.74255,2023
8,55440.22637,1,Single Family,Single Family,55440.22637,2023
9,95184.32596,1,Single Family,Single Family,95184.32596,2023
10,50626.34638,1,Single Family,Single Family,50626.34638,2023
12,34918.49441,1,Semi-Detached,Missing Middle,34918.49441,2023
13,32726.04959,1,Single Family,Single Family,32726.04959,2023
14,74044.00232,1,Single Family,Single Family,74044.00232,2023
15,55146.01174,1,Single Family,Single Family,55146.01174,2023
16,91054.57134,1,Single Family,Single Family,91054.57134,2023
17,52935.72161,1,Single Family,Single Family,52935.72161,2023
18,45361.3225,1,Single Family,Single Family,45361.3225,2023
19,34171.74312,1,Single Family,Single Family,34171.74312,2023
20,44593.8576,1,Single Family,Single Family,44593.8576,2023
21,101009.8946,1,Single Family,Single Family,101009.8946,2023
22,87928.06156,1,Single Family,Single Family,87928.06156,2023
23,70256.7986,1,Single Family,Single Family,70256.7986,2023
24,27579.31803,1,Semi-Detached,Missing Middle,27579.31803,2023
25,34567.12656,1,Single Family,Single Family,34567.12656,2023
26,54940.69013,1,Single Family,Single Family,54940.69013,2023
28,67872.69043,1,Single Family,Single Family,67872.69043,2023
29,92976.94838,1,Single Family,Single Family,92976.94838,2023
30,28957.74705,1,Semi-Detached,Missing Middle,28957.74705,2023
31,67267.25188,1,Single Family,Single Family,67267.25188,2023
32,55187.81011,1,Single Family,Single Family,55187.81011,2023
33,68550.44671,1,Single Family,Single Family,68550.44671,2023
34,29549.99035,1,Semi-Detached,Missing Middle,29549.99035,2023
35,57489.00323,1,Single Family,Single Family,57489.00323,2023
36,53699.52046,1,Single Family,Single Family,53699.52046,2023
37,63512.76241,1,Single Family,Single Family,63512.76241,2023
38,116120.9148,1,Single Family,Single Family,116120.9148,2023
39,81271.31063,1,Single Family,Single Family,81271.31063,2023
41,48712.97854,1,Single Family,Single Family,48712.97854,2023
42,26122.44885,1,Single Family,Single Family,26122.44885,2023
43,129621.2022,1,Single Family,Single Family,129621.2022,2023
44,78003.63183,1,Single Family,Single Family,78003.63183,2023
45,57592.07282,1,Single Family,Single Family,57592.07282,2023
46,61187.71033,1,Single Family,Single Family,61187.71033,2023
47,68959.58875,1,Single Family,Single Family,68959.58875,2023
49,56425.03355,1,Single Family,Single Family,56425.03355,2023
50,106001.9225,1,Single Family,Single Family,106001.9225,2023
57,23594.52499,1,Laneway,Missing Middle,23594.52499,2023
58,29030.20696,1,Laneway,Missing Middle,29030.20696,2023
59,10585.84614,1,Laneway,Missing Middle,10585.84614,2023
60,36753.34916,1,Laneway,Missing Middle,36753.34916,2023
67,353918.529,44,Rowhouses,Missing Middle,8043.602932,2023
69,20789.43316,1,Laneway,Missing Middle,20789.43316,2023
70,25889.98293,1,Laneway,Missing Middle,25889.98293,2023
71,23044.41289,1,Laneway,Missing Middle,23044.41289,2023
72,31702.41177,1,Laneway,Missing Middle,31702.41177,2023
74,34450.6204,1,Laneway,Missing Middle,34450.6204,2023
75,17084.21382,1,Laneway,Missing Middle,17084.21382,2023
76,39016.42025,1,Laneway,Missing Middle,39016.42025,2023
77,381423.7177,20,Mid High Rise,Mid High Rise,19071.18589,2023
78,105129.0129,1,Single Family,Single Family,105129.0129,2023
79,114950.1611,6,Low-Rise Apartments,Missing Middle,19158.36018,2023
80,114950.1611,6,Low-Rise Apartments,Missing Middle,19158.36018,2023
81,17179.98728,1,Laneway,Missing Middle,17179.98728,2023
84,375695.7343,36,Low-Rise Apartments,Missing Middle,10435.99262,2023
91,37037.08829,2,Multiplexes,Missing Middle,18518.54415,2023
94,40652.69667,3,Rowhouses,Missing Middle,13550.89889,2023
95,1148286.752,24,Mid High Rise,Mid High Rise,47845.28135,2023
96,188589.9075,4,Rowhouses,Missing Middle,47147.47688,2023
97,188603.0934,4,Rowhouses,Missing Middle,47150.77334,2023
98,610520.3421,27,Low-Rise Apartments,Missing Middle,22611.86452,2023
99,119636.2492,6,Low-Rise Apartments,Missing Middle,19939.37487,2023
100,122107.1269,6,Low-Rise Apartments,Missing Middle,20351.18781,2023
101,82383.02858,2,Multiplexes,Missing Middle,41191.51429,2023
102,106585.8971,2,Multiplexes,Missing Middle,53292.94855,2023
103,52492.7558,5,Low-Rise Apartments,Missing Middle,10498.55116,2023
104,1371566.81,98,Low-Rise Apartments,Missing Middle,13995.57969,2023
105,414349.6711,17,Low-Rise Apartments,Missing Middle,24373.51007,2023
106,218045.1321,8,Low-Rise Apartments,Missing Middle,27255.64151,2023
107,244849.3599,10,Rowhouses,Missing Middle,24484.93599,2023
108,249063.0336,11,Rowhouses,Missing Middle,22642.09396,2023
109,170623.6947,17,Low-Rise Apartments,Missing Middle,10036.68793,2023
110,52513.1391,3,Multiplexes,Missing Middle,17504.3797,2023
111,2260657.135,60,Low-Rise Apartments,Missing Middle,37677.61892,2023
112,6320997.925,332,Mid High Rise,Mid High Rise,19039.15038,2023
113,837121.746,15,Low-Rise Apartments,Missing Middle,55808.1164,2023
6,3565535.072,96,Mid High Rise,Mid High Rise,37140.99033,2023
52,11627415.42,421,Mid High Rise,Mid High Rise,27618.56394,2023
53,8125891.44,337,Mid High Rise,Mid High Rise,24112.43751,2023
54,13023107.57,579,Mid High Rise,Mid High Rise,22492.41376,2023
55,8316889.688,300,Mid High Rise,Mid High Rise,27722.96563,2023
56,14259182.68,363,Mid High Rise,Mid High Rise,39281.49499,2023
63,4004991.157,179,Mid High Rise,Mid High Rise,22374.25227,2023
64,21777368.45,709,Mid High Rise,Mid High Rise,30715.61135,2023
65,4473104.952,233,Mid High Rise,Mid High Rise,19197.87533,2023
66,7591075.237,563,Mid High Rise,Mid High Rise,13483.25975,2023
68,18658502.87,740,Mid High Rise,Mid High Rise,25214.19307,2023
73,10771888.97,378,Mid High Rise,Mid High Rise,28497.06078,2023
82,1030793.631,21,Mid High Rise,Mid High Rise,49085.41098,2023
85,4752210.589,165,Mid High Rise,Mid High Rise,28801.27629,2023
86,6046601.846,210,Mid High Rise,Mid High Rise,28793.34213,2023
87,14450282.85,545,Mid High Rise,Mid High Rise,26514.28045,2023
90,7220483.799,363,Mid High Rise,Mid High Rise,19891.13994,2023
92,13340776.27,451,Mid High Rise,Mid High Rise,29580.43518,2023
93,18325928,694,Mid High Rise,Mid High Rise,26406.23631,2023
1,90426.5408,1,Single Family,Single Family,90426.5408,2024
2,32834.23381,1,Single Family,Single Family,32834.23381,2024
3,56583.95213,1,Single Family,Single Family,56583.95213,2024
4,33034.9068,1,Single Family,Single Family,33034.9068,2024
7,50351.50803,1,Single Family,Single Family,50351.50803,2024
8,54476.7333,1,Single Family,Single Family,54476.7333,2024
9,93219.81051,1,Single Family,Single Family,93219.81051,2024
10,49659.03898,1,Single Family,Single Family,49659.03898,2024
12,34302.51272,1,Semi-Detached,Missing Middle,34302.51272,2024
13,32165.28359,1,Single Family,Single Family,32165.28359,2024
14,72608.38658,1,Single Family,Single Family,72608.38658,2024
15,54140.52611,1,Single Family,Single Family,54140.52611,2024
16,89277.74532,1,Single Family,Single Family,89277.74532,2024
17,52177.33736,1,Single Family,Single Family,52177.33736,2024
18,44463.29855,1,Single Family,Single Family,44463.29855,2024
19,33743.25774,1,Single Family,Single Family,33743.25774,2024
20,43752.17566,1,Single Family,Single Family,43752.17566,2024
21,98826.51807,1,Single Family,Single Family,98826.51807,2024
22,86085.9147,1,Single Family,Single Family,86085.9147,2024
23,69070.62846,1,Single Family,Single Family,69070.62846,2024
24,27118.77623,1,Semi-Detached,Missing Middle,27118.77623,2024
25,34005.91678,1,Single Family,Single Family,34005.91678,2024
26,53821.87117,1,Single Family,Single Family,53821.87117,2024
28,66951.19876,1,Single Family,Single Family,66951.19876,2024
29,91558.27785,1,Single Family,Single Family,91558.27785,2024
30,28482.38314,1,Semi-Detached,Missing Middle,28482.38314,2024
31,65811.7239,1,Single Family,Single Family,65811.7239,2024
32,54048.25629,1,Single Family,Single Family,54048.25629,2024
33,67521.77743,1,Single Family,Single Family,67521.77743,2024
34,29076.30136,1,Semi-Detached,Missing Middle,29076.30136,2024
35,56495.94365,1,Single Family,Single Family,56495.94365,2024
36,52580.48249,1,Single Family,Single Family,52580.48249,2024
37,62215.46762,1,Single Family,Single Family,62215.46762,2024
38,114351.6193,1,Single Family,Single Family,114351.6193,2024
39,79818.03832,1,Single Family,Single Family,79818.03832,2024
41,47697.11363,1,Single Family,Single Family,47697.11363,2024
42,25757.31629,1,Single Family,Single Family,25757.31629,2024
43,127077.3245,1,Single Family,Single Family,127077.3245,2024
44,76427.66214,1,Single Family,Single Family,76427.66214,2024
45,56527.12559,1,Single Family,Single Family,56527.12559,2024
46,59946.46535,1,Single Family,Single Family,59946.46535,2024
47,67664.39887,1,Single Family,Single Family,67664.39887,2024
49,55533.0495,1,Single Family,Single Family,55533.0495,2024
50,104160.7439,1,Single Family,Single Family,104160.7439,2024
57,23294.07418,1,Laneway,Missing Middle,23294.07418,2024
58,28572.77846,1,Laneway,Missing Middle,28572.77846,2024
59,10388.28933,1,Laneway,Missing Middle,10388.28933,2024
60,36223.70364,1,Laneway,Missing Middle,36223.70364,2024
67,349305.1314,44,Rowhouses,Missing Middle,7938.752987,2024
69,20541.75198,1,Laneway,Missing Middle,20541.75198,2024
70,25597.04388,1,Laneway,Missing Middle,25597.04388,2024
71,22597.02909,1,Laneway,Missing Middle,22597.02909,2024
72,31402.18473,1,Laneway,Missing Middle,31402.18473,2024
74,34051.27979,1,Laneway,Missing Middle,34051.27979,2024
75,16946.47531,1,Laneway,Missing Middle,16946.47531,2024
76,38402.64503,1,Laneway,Missing Middle,38402.64503,2024
77,375836.7961,20,Mid High Rise,Mid High Rise,18791.83981,2024
78,103536.9704,1,Single Family,Single Family,103536.9704,2024
79,113013.4077,6,Low-Rise Apartments,Missing Middle,18835.56795,2024
80,113013.4077,6,Low-Rise Apartments,Missing Middle,18835.56795,2024
81,16894.94488,1,Laneway,Missing Middle,16894.94488,2024
84,366546.095,36,Low-Rise Apartments,Missing Middle,10181.83597,2024
91,36383.21917,2,Multiplexes,Missing Middle,18191.60959,2024
94,39971.64224,3,Rowhouses,Missing Middle,13323.88075,2024
95,1128587.597,24,Mid High Rise,Mid High Rise,47024.4832,2024
96,186209.8335,4,Rowhouses,Missing Middle,46552.45838,2024
97,186223.0178,4,Rowhouses,Missing Middle,46555.75444,2024
98,599743.1765,27,Low-Rise Apartments,Missing Middle,22212.71024,2024
99,118033.379,6,Low-Rise Apartments,Missing Middle,19672.22984,2024
100,120313.7136,6,Low-Rise Apartments,Missing Middle,20052.2856,2024
101,80977.41077,2,Multiplexes,Missing Middle,40488.70538,2024
102,105657.2886,2,Multiplexes,Missing Middle,52828.64432,2024
103,52046.41332,5,Low-Rise Apartments,Missing Middle,10409.28266,2024
104,1337080.393,98,Low-Rise Apartments,Missing Middle,13643.67748,2024
105,409549.3192,17,Low-Rise Apartments,Missing Middle,24091.13643,2024
106,214067.0886,8,Low-Rise Apartments,Missing Middle,26758.38608,2024
107,240338.6261,10,Rowhouses,Missing Middle,24033.86261,2024
108,244806.4103,11,Rowhouses,Missing Middle,22255.12821,2024
109,167712.0703,17,Low-Rise Apartments,Missing Middle,9865.415897,2024
110,51625.74261,3,Multiplexes,Missing Middle,17208.58087,2024
111,2201185.002,60,Low-Rise Apartments,Missing Middle,36686.41669,2024
112,6142137.593,332,Mid High Rise,Mid High Rise,18500.41444,2024
113,820613.3821,15,Low-Rise Apartments,Missing Middle,54707.55881,2024
6,3456594.865,96,Mid High Rise,Mid High Rise,36006.19651,2024
52,11249446.38,421,Mid High Rise,Mid High Rise,26720.77526,2024
53,7859650.699,337,Mid High Rise,Mid High Rise,23322.40563,2024
54,12583295.59,579,Mid High Rise,Mid High Rise,21732.80759,2024
55,8044279.229,300,Mid High Rise,Mid High Rise,26814.2641,2024
56,13783458.87,363,Mid High Rise,Mid High Rise,37970.96108,2024
63,3879214.524,179,Mid High Rise,Mid High Rise,21671.58952,2024
64,21043948.08,709,Mid High Rise,Mid High Rise,29681.16796,2024
65,4330783.687,233,Mid High Rise,Mid High Rise,18587.05445,2024
66,7359267.03,563,Mid High Rise,Mid High Rise,13071.52226,2024
68,18027702.16,740,Mid High Rise,Mid High Rise,24361.75968,2024
73,10415733.84,378,Mid High Rise,Mid High Rise,27554.85143,2024
82,1006890.339,21,Mid High Rise,Mid High Rise,47947.15901,2024
85,4600123.78,165,Mid High Rise,Mid High Rise,27879.53806,2024
86,5850864.017,210,Mid High Rise,Mid High Rise,27861.25722,2024
87,13967676.4,545,Mid High Rise,Mid High Rise,25628.76404,2024
90,6984804.625,363,Mid High Rise,Mid High Rise,19241.88602,2024
92,12894683.92,451,Mid High Rise,Mid High Rise,28591.3169,2024
93,17714506.72,694,Mid High Rise,Mid High Rise,25525.22582,2024
1,88959.15614,1,Single Family,Single Family,88959.15614,2025
2,32120.01365,1,Single Family,Single Family,32120.01365,2025
3,55397.19744,1,Single Family,Single Family,55397.19744,2025
4,32331.7515,1,Single Family,Single Family,32331.7515,2025
7,49551.2735,1,Single Family,Single Family,49551.2735,2025
8,53513.24023,1,Single Family,Single Family,53513.24023,2025
9,91255.29507,1,Single Family,Single Family,91255.29507,2025
10,48691.73159,1,Single Family,Single Family,48691.73159,2025
12,33686.53102,1,Semi-Detached,Missing Middle,33686.53102,2025
13,31604.51759,1,Single Family,Single Family,31604.51759,2025
14,71172.77084,1,Single Family,Single Family,71172.77084,2025
15,53135.04049,1,Single Family,Single Family,53135.04049,2025
16,87500.91929,1,Single Family,Single Family,87500.91929,2025
17,51418.9531,1,Single Family,Single Family,51418.9531,2025
18,43565.27459,1,Single Family,Single Family,43565.27459,2025
19,33314.77235,1,Single Family,Single Family,33314.77235,2025
20,42910.49372,1,Single Family,Single Family,42910.49372,2025
21,96643.14158,1,Single Family,Single Family,96643.14158,2025
22,84243.76784,1,Single Family,Single Family,84243.76784,2025
