Building Key,GHG Quantity 1 Max,Units,mm_split_labels,labels_general,ghg_per_unit,year
1,128060.0474,1,Single Family,Single Family,128060.0474,2023
2,40827.63253,1,Single Family,Single Family,40827.63253,2023
3,77069.93919,1,Single Family,Single Family,77069.93919,2023
4,40484.37912,1,Single Family,Single Family,40484.37912,2023
7,65958.05891,1,Single Family,Single Family,65958.05891,2023
8,69958.05541,1,Single Family,Single Family,69958.05541,2023
9,117699.7232,1,Single Family,Single Family,117699.7232,2023
10,61800.1022,1,Single Family,Single Family,61800.1022,2023
12,49376.15465,1,Semi-Detached,Missing Middle,49376.15465,2023
13,40814.17621,1,Single Family,Single Family,40814.17621,2023
14,99633.29089,1,Single Family,Single Family,99633.29089,2023
15,70865.83993,1,Single Family,Single Family,70865.83993,2023
16,110634.189,1,Single Family,Single Family,110634.189,2023
17,69325.0439,1,Single Family,Single Family,69325.0439,2023
18,57195.01655,1,Single Family,Single Family,57195.01655,2023
19,63354.33295,1,Single Family,Single Family,63354.33295,2023
20,55768.22955,1,Single Family,Single Family,55768.22955,2023
21,128422.8433,1,Single Family,Single Family,128422.8433,2023
22,108728.5284,1,Single Family,Single Family,108728.5284,2023
23,94071.00111,1,Single Family,Single Family,94071.00111,2023
24,35384.34937,1,Semi-Detached,Missing Middle,35384.34937,2023
25,56381.54164,1,Single Family,Single Family,56381.54164,2023
26,68058.26558,1,Single Family,Single Family,68058.26558,2023
28,94583.35544,1,Single Family,Single Family,94583.35544,2023
29,128406.0351,1,Single Family,Single Family,128406.0351,2023
30,37216.46928,1,Semi-Detached,Missing Middle,37216.46928,2023
31,86136.23139,1,Single Family,Single Family,86136.23139,2023
32,70441.91961,1,Single Family,Single Family,70441.91961,2023
33,106961.6486,1,Single Family,Single Family,106961.6486,2023
34,38401.25452,1,Semi-Detached,Missing Middle,38401.25452,2023
35,79901.98977,1,Single Family,Single Family,79901.98977,2023
36,68370.69679,1,Single Family,Single Family,68370.69679,2023
37,78292.47968,1,Single Family,Single Family,78292.47968,2023
38,159007.853,1,Single Family,Single Family,159007.853,2023
39,107027.7285,1,Single Family,Single Family,107027.7285,2023
41,65273.88577,1,Single Family,Single Family,65273.88577,2023
