Building Key,GHG Quantity 1 Min,Units,mm_split_labels,labels_general,ghg_per_unit,year
1,58682.44454,1,Single Family,Single Family,58682.44454,2023
2,24701.05183,1,Single Family,Single Family,24701.05183,2023
3,38839.81732,1,Single Family,Single Family,38839.81732,2023
4,24733.46355,1,Single Family,Single Family,24733.46355,2023
7,33528.53192,1,Single Family,Single Family,33528.53192,2023
8,37867.97202,1,Single Family,Single Family,37867.97202,2023
9,65755.8336,1,Single Family,Single Family,65755.8336,2023
10,35714.9353,1,Single Family,Single Family,35714.9353,2023
12,25209.21287,1,Semi-Detached,Missing Middle,25209.21287,2023
13,22288.57569,1,Single Family,Single Family,22288.57569,2023
14,50452.03792,1,Single Family,Single Family,50452.03792,2023
15,37571.4049,1,Single Family,Single Family,37571.4049,2023
16,61015.99152,1,Single Family,Single Family,61015.99152,2023
17,43670.31479,1,Single Family,Single Family,43670.31479,2023
18,31703.61376,1,Single Family,Single Family,31703.61376,2023
19,19893.84942,1,Single Family,Single Family,19893.84942,2023
20,29693.0759,1,Single Family,Single Family,29693.0759,2023
21,68652.39056,1,Single Family,Single Family,68652.39056,2023
22,58087.81611,1,Single Family,Single Family,58087.81611,2023
23,46887.5794,1,Single Family,Single Family,46887.5794,2023
24,18496.35957,1,Semi-Detached,Missing Middle,18496.35957,2023
25,22566.26897,1,Single Family,Single Family,22566.26897,2023
26,37409.68164,1,Single Family,Single Family,37409.68164,2023
28,43513.75745,1,Single Family,Single Family,43513.75745,2023
29,57464.69108,1,Single Family,Single Family,57464.69108,2023
30,19151.70709,1,Semi-Detached,Missing Middle,19151.70709,2023
31,44765.02073,1,Single Family,Single Family,44765.02073,2023
32,37509.86379,1,Single Family,Single Family,37509.86379,2023
33,42766.47239,1,Single Family,Single Family,42766.47239,2023
34,19187.89798,1,Semi-Detached,Missing Middle,19187.89798,2023
35,38799.60712,1,Single Family,Single Family,38799.60712,2023
36,36541.8105,1,Single Family,Single Family,36541.8105,2023
37,44476.08946,1,Single Family,Single Family,44476.08946,2023
38,75984.14892,1,Single Family,Single Family,75984.14892,2023
39,53515.55887,1,Single Family,Single Family,53515.55887,2023
41,33139.63702,1,Single Family,Single Family,33139.63702,2023
42,14758.60989,1,Single Family,Single Family,14758.60989,2023
43,91142.87012,1,Single Family,Single Family,91142.87012,2023
44,53390.82299,1,Single Family,Single Family,53390.82299,2023
45,39808.94497,1,Single Family,Single Family,39808.94497,2023
46,42366.33835,1,Single Family,Single Family,42366.33835,2023
47,47728.05076,1,Single Family,Single Family,47728.05076,2023
49,38305.07029,1,Single Family,Single Family,38305.07029,2023
50,68625.07388,1,Single Family,Single Family,68625.07388,2023
57,13950.78168,1,Laneway,Missing Middle,13950.78168,2023
58,18480.27352,1,Laneway,Missing Middle,18480.27352,2023
59,6965.685856,1,Laneway,Missing Middle,6965.685856,2023
60,20523.31219,1,Laneway,Missing Middle,20523.31219,2023
67,179900.6914,44,Rowhouses,Missing Middle,4088.652078,2023
69,10312.94719,1,Laneway,Missing Middle,10312.94719,2023
70,17749.24693,1,Laneway,Missing Middle,17749.24693,2023
71,16746.18146,1,Laneway,Missing Middle,16746.18146,2023
72,17764.74938,1,Laneway,Missing Middle,17764.74938,2023
74,21715.44961,1,Laneway,Missing Middle,21715.44961,2023
75,8865.534538,1,Laneway,Missing Middle,8865.534538,2023
76,20945.87132,1,Laneway,Missing Middle,20945.87132,2023
77,251788.0812,20,Mid High Rise,Mid High Rise,12589.40406,2023
78,69267.91757,1,Single Family,Single Family,69267.91757,2023
79,73780.27334,6,Low-Rise Apartments,Missing Middle,12296.71222,2023
80,73780.27334,6,Low-Rise Apartments,Missing Middle,12296.71222,2023
81,12877.06282,1,Laneway,Missing Middle,12877.06282,2023
84,242689.3828,36,Low-Rise Apartments,Missing Middle,6741.371744,2023
91,24859.28518,2,Multiplexes,Missing Middle,12429.64259,2023
94,29784.50227,3,Rowhouses,Missing Middle,9928.167422,2023
95,787190.0971,24,Mid High Rise,Mid High Rise,32799.58738,2023
96,134017.9552,4,Rowhouses,Missing Middle,33504.48879,2023
97,134031.1413,4,Rowhouses,Missing Middle,33507.78532,2023
98,397140.6056,27,Low-Rise Apartments,Missing Middle,14708.91132,2023
99,80399.8711,6,Low-Rise Apartments,Missing Middle,13399.97852,2023
100,75460.79812,6,Low-Rise Apartments,Missing Middle,12576.79969,2023
101,57851.83441,2,Multiplexes,Missing Middle,28925.9172,2023
102,53152.5614,2,Multiplexes,Missing Middle,26576.2807,2023
103,34335.43753,5,Low-Rise Apartments,Missing Middle,6867.087506,2023
104,1016714.191,98,Low-Rise Apartments,Missing Middle,10374.63461,2023
105,271764.093,17,Low-Rise Apartments,Missing Middle,15986.12312,2023
106,171237.7335,8,Low-Rise Apartments,Missing Middle,21404.71669,2023
107,152983.172,10,Rowhouses,Missing Middle,15298.3172,2023
108,159996.2637,11,Rowhouses,Missing Middle,14545.11488,2023
109,111786.0928,17,Low-Rise Apartments,Missing Middle,6575.65252,2023
110,35346.83573,3,Multiplexes,Missing Middle,11782.27858,2023
111,1386875.814,60,Low-Rise Apartments,Missing Middle,23114.5969,2023
112,3795489.743,332,Mid High Rise,Mid High Rise,11432.19802,2023
113,582705.698,15,Low-Rise Apartments,Missing Middle,38847.04653,2023
6,2304276.691,96,Mid High Rise,Mid High Rise,24002.88219,2023
52,7229298.925,421,Mid High Rise,Mid High Rise,17171.73141,2023
53,5045252.878,337,Mid High Rise,Mid High Rise,14971.07679,2023
54,8013526.388,579,Mid High Rise,Mid High Rise,13840.28737,2023
55,5173948.751,300,Mid High Rise,Mid High Rise,17246.49584,2023
56,8893964.001,363,Mid High Rise,Mid High Rise,24501.27824,2023
63,2578377.112,179,Mid High Rise,Mid High Rise,14404.34141,2023
64,13376922.45,709,Mid High Rise,Mid High Rise,18867.30953,2023
65,2851898.397,233,Mid High Rise,Mid High Rise,12239.90728,2023
66,4748701.019,563,Mid High Rise,Mid High Rise,8434.637689,2023
68,11551492.43,740,Mid High Rise,Mid High Rise,15610.1249,2023
73,6685695.251,378,Mid High Rise,Mid High Rise,17687.02447,2023
82,759870.2165,21,Mid High Rise,Mid High Rise,36184.29603,2023
85,3019972.986,165,Mid High Rise,Mid High Rise,18302.86658,2023
86,3819113.374,210,Mid High Rise,Mid High Rise,18186.25416,2023
87,8926175.967,545,Mid High Rise,Mid High Rise,16378.30453,2023
90,4553071.007,363,Mid High Rise,Mid High Rise,12542.89534,2023
92,8244647.9,451,Mid High Rise,Mid High Rise,18280.81574,2023
93,11268532.63,694,Mid High Rise,Mid High Rise,16237.07871,2023
1,57592.97102,1,Single Family,Single Family,57592.97102,2024
2,24173.769,1,Single Family,Single Family,24173.769,2024
3,37977.02691,1,Single Family,Single Family,37977.02691,2024
4,24205.36336,1,Single Family,Single Family,24205.36336,2024
7,32940.49019,1,Single Family,Single Family,32940.49019,2024
8,37138.33307,1,Single Family,Single Family,37138.33307,2024
9,64306.11475,1,Single Family,Single Family,64306.11475,2024
10,34980.88315,1,Single Family,Single Family,34980.88315,2024
12,24754.70655,1,Semi-Detached,Missing Middle,24754.70655,2024
13,21864.77572,1,Single Family,Single Family,21864.77572,2024
14,49397.36937,1,Single Family,Single Family,49397.36937,2024
15,36828.59886,1,Single Family,Single Family,36828.59886,2024
16,59757.54561,1,Single Family,Single Family,59757.54561,2024
17,43090.33961,1,Single Family,Single Family,43090.33961,2024
18,31062.67486,1,Single Family,Single Family,31062.67486,2024
19,19576.45444,1,Single Family,Single Family,19576.45444,2024
20,29098.55502,1,Single Family,Single Family,29098.55502,2024
21,67130.87934,1,Single Family,Single Family,67130.87934,2024
22,56842.62544,1,Single Family,Single Family,56842.62544,2024
23,46003.55418,1,Single Family,Single Family,46003.55418,2024
24,18156.59027,1,Semi-Detached,Missing Middle,18156.59027,2024
25,22143.42268,1,Single Family,Single Family,22143.42268,2024
26,36617.19133,1,Single Family,Single Family,36617.19133,2024
28,42828.50216,1,Single Family,Single Family,42828.50216,2024
29,56476.23563,1,Single Family,Single Family,56476.23563,2024
30,18804.93654,1,Semi-Detached,Missing Middle,18804.93654,2024
31,43755.85892,1,Single Family,Single Family,43755.85892,2024
32,36695.26185,1,Single Family,Single Family,36695.26185,2024
33,42003.25994,1,Single Family,Single Family,42003.25994,2024
34,18846.00761,1,Semi-Detached,Missing Middle,18846.00761,2024
35,38048.41806,1,Single Family,Single Family,38048.41806,2024
36,35742.76025,1,Single Family,Single Family,35742.76025,2024
37,43513.82757,1,Single Family,Single Family,43513.82757,2024
38,74746.15056,1,Single Family,Single Family,74746.15056,2024
39,52446.91413,1,Single Family,Single Family,52446.91413,2024
41,32420.68982,1,Single Family,Single Family,32420.68982,2024
42,14486.90529,1,Single Family,Single Family,14486.90529,2024
43,89204.24609,1,Single Family,Single Family,89204.24609,2024
44,52257.42023,1,Single Family,Single Family,52257.42023,2024
45,39029.75054,1,Single Family,Single Family,39029.75054,2024
46,41462.77904,1,Single Family,Single Family,41462.77904,2024
47,46774.52673,1,Single Family,Single Family,46774.52673,2024
49,37619.82223,1,Single Family,Single Family,37619.82223,2024
50,67301.55319,1,Single Family,Single Family,67301.55319,2024
57,13711.69236,1,Laneway,Missing Middle,13711.69236,2024
58,18099.73376,1,Laneway,Missing Middle,18099.73376,2024
59,6819.962569,1,Laneway,Missing Middle,6819.962569,2024
60,20130.64324,1,Laneway,Missing Middle,20130.64324,2024
67,176829.6148,44,Rowhouses,Missing Middle,4018.854881,2024
69,10135.97363,1,Laneway,Missing Middle,10135.97363,2024
70,17537.80285,1,Laneway,Missing Middle,17537.80285,2024
71,16347.24192,1,Laneway,Missing Middle,16347.24192,2024
72,17517.93818,1,Laneway,Missing Middle,17517.93818,2024
74,21406.38025,1,Laneway,Missing Middle,21406.38025,2024
75,8771.10517,1,Laneway,Missing Middle,8771.10517,2024
76,20538.88592,1,Laneway,Missing Middle,20538.88592,2024
77,248143.442,20,Mid High Rise,Mid High Rise,12407.1721,2024
78,68088.77443,1,Single Family,Single Family,68088.77443,2024
79,72457.98058,6,Low-Rise Apartments,Missing Middle,12076.3301,2024
80,72457.98058,6,Low-Rise Apartments,Missing Middle,12076.3301,2024
81,12659.58812,1,Laneway,Missing Middle,12659.58812,2024
84,236861.1967,36,Low-Rise Apartments,Missing Middle,6579.477685,2024
91,24389.78118,2,Multiplexes,Missing Middle,12194.89059,2024
94,29182.57919,3,Rowhouses,Missing Middle,9727.526397,2024
95,771019.6497,24,Mid High Rise,Mid High Rise,32125.81874,2024
96,132076.8344,4,Rowhouses,Missing Middle,33019.20861,2024
97,132090.0199,4,Rowhouses,Missing Middle,33022.50498,2024
98,390183.8589,27,Low-Rise Apartments,Missing Middle,14451.25403,2024
99,79347.77472,6,Low-Rise Apartments,Missing Middle,13224.62912,2024
100,74089.79307,6,Low-Rise Apartments,Missing Middle,12348.29885,2024
101,56792.97283,2,Multiplexes,Missing Middle,28396.48642,2024
102,52584.76494,2,Multiplexes,Missing Middle,26292.38247,2024
103,34005.8741,5,Low-Rise Apartments,Missing Middle,6801.17482,2024
104,990077.435,98,Low-Rise Apartments,Missing Middle,10102.83097,2024
105,268056.869,17,Low-Rise Apartments,Missing Middle,15768.05112,2024
106,167670.7821,8,Low-Rise Apartments,Missing Middle,20958.84777,2024
107,149947.0058,10,Rowhouses,Missing Middle,14994.70058,2024
108,157050.3955,11,Rowhouses,Missing Middle,14277.30868,2024
109,109661.1109,17,Low-Rise Apartments,Missing Middle,6450.653584,2024
110,34665.83868,3,Multiplexes,Missing Middle,11555.27956,2024
111,1349297.588,60,Low-Rise Apartments,Missing Middle,22488.29314,2024
