GHG emissions by building type (metric ton)
t_periods,emissions_comm,Sub,Archetype,NewOld,Emisions
2016,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.8605063786685965
2016,CH4,Commercial,Accommodation and Food Services,Old,2.169771932591839
2016,CH4,Commercial,Educational Services,Old,5.409304216456905
2016,CH4,Commercial,Health Care and Social Assistance,Old,3.3559984087661077
2016,CH4,Commercial,Information and Cultural Industries,Old,0.2840456839005348
2016,CH4,Commercial,Offices,Old,18.889701360225374
2016,CH4,Commercial,Other Services,Old,2.2098551700205635
2016,CH4,Commercial,Retail Trade,Old,6.821744826522845
2016,CH4,Commercial,Transportation and Warehousing,Old,1.2123612553533656
2016,CH4,Commercial,Wholesale Trade,Old,4.320909400655542
2016,CH4,Industry,,,16.313422075788782
2016,CH4,Public,Hospital,Old,1.687945705779701
2016,CH4,Public,Municipality,Old,1.471170925286463
2016,CH4,Public,Post-Secondary Institution,Old,2.7069173199279275
2016,CH4,Public,School board,Old,2.7881330602632
2016,CH4,Residential,Apartments,Old,79.16523709552689
2016,CH4,Residential,Single Attached,Old,44.7288248972994
2016,CH4,Residential,Single Detached,Old,108.0473779420147
2016,CO2,Commercial,"Arts, Entertainment and Recreation",Old,95316.16502539803
2016,CO2,Commercial,Accommodation and Food Services,Old,111334.79165006074
2016,CO2,Commercial,Educational Services,Old,279352.2193839843
2016,CO2,Commercial,Health Care and Social Assistance,Old,172945.30407356966
2016,CO2,Commercial,Information and Cultural Industries,Old,14476.894255552694
2016,CO2,Commercial,Offices,Old,982477.2547832443
2016,CO2,Commercial,Other Services,Old,113317.75969471509
2016,CO2,Commercial,Retail Trade,Old,351399.14971951244
2016,CO2,Commercial,Transportation and Warehousing,Old,62180.16066972512
2016,CO2,Commercial,Wholesale Trade,Old,221507.6468322712
2016,CO2,Industry,,,822364.526175333
2016,CO2,Public,Hospital,Old,93883.058296589
2016,CO2,Public,Municipality,Old,74804.41713030655
2016,CO2,Public,Post-Secondary Institution,Old,139616.79364852599
2016,CO2,Public,School board,Old,141356.85757334327
2016,CO2,Residential,Apartments,Old,1346296.159244333
2016,CO2,Residential,Single Attached,Old,714518.0685690837
2016,CO2,Residential,Single Detached,Old,1624335.637709186
2016,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,95954.7181561089
2016,CO2e,Commercial,Accommodation and Food Services,Old,112086.35963709325
2016,CO2e,Commercial,Educational Services,Old,281236.73929260974
2016,CO2e,Commercial,Health Care and Social Assistance,Old,174136.70211916827
2016,CO2e,Commercial,Information and Cultural Industries,Old,14575.340805828577
2016,CO2e,Commercial,Offices,Old,990016.4375928111
2016,CO2e,Commercial,Other Services,Old,114061.78685565047
2016,CO2e,Commercial,Retail Trade,Old,353728.3546899329
2016,CO2e,Commercial,Transportation and Warehousing,Old,62608.34695040752
2016,CO2e,Commercial,Wholesale Trade,Old,223020.3294720804
2016,CO2e,Industry,,,827287.0281918605
2016,CO2e,Public,Hospital,Old,94405.8123360008
2016,CO2e,Public,Municipality,Old,75250.03141843113
2016,CO2e,Public,Post-Secondary Institution,Old,140442.15340550363
2016,CO2e,Public,School board,Old,142201.37211287825
2016,CO2e,Residential,Apartments,Old,1355478.2257525127
2016,CO2e,Residential,Single Attached,Old,719451.6028722347
2016,CO2e,Residential,Single Detached,Old,1635682.1886205045
2016,N2O,Commercial,"Arts, Entertainment and Recreation",Old,2.0116862307341035
2016,N2O,Commercial,Accommodation and Food Services,Old,2.3691368337181515
2016,N2O,Commercial,Educational Services,Old,5.942699731811441
2016,N2O,Commercial,Health Care and Social Assistance,Old,3.761483486625875
2016,N2O,Commercial,Information and Cultural Industries,Old,0.31034090910729634
2016,N2O,Commercial,Offices,Old,23.96811772148137
2016,N2O,Commercial,Other Services,Old,2.3410073904863467
2016,N2O,Commercial,Retail Trade,Old,7.335397077393819
2016,N2O,Commercial,Transportation and Warehousing,Old,1.3514318601340563
2016,N2O,Commercial,Wholesale Trade,Old,4.771622625488147
2016,N2O,Industry,,,15.368859573607477
2016,N2O,Public,Hospital,Old,1.635258991914045
2016,N2O,Public,Municipality,Old,1.391676841253513
2016,N2O,Public,Post-Secondary Institution,Old,2.578907695500567
2016,N2O,Public,School board,Old,2.6374622324476884
2016,N2O,Residential,Apartments,Old,25.233545399910586
2016,N2O,Residential,Single Attached,Old,13.403452954050888
2016,N2O,Residential,Single Detached,Old,30.461597229985788
2017,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.8891764527032617
2017,CH4,Commercial,Accommodation and Food Services,Old,2.2005695626176496
