"Energy consumed for building sector, and per end use (TJ)"
t_periods,Fuel,Sub,EndUse,VFlow_In
2016,Biomass,Industry,Industrial Processes,85.19671545864493
2016,Biomass,Residential,Space Heating,203.50461539406385
2016,Biomass,Residential,Water Heating,9.844861972196272
2016,Bio Methane,Commercial,Auxiliary Equipment,3.7509043503224864
2016,Bio Methane,Commercial,Space Cooling,0.7427718852509747
2016,Bio Methane,Commercial,Space Heating,376.1524971029788
2016,Bio Methane,Commercial,Water Heating,33.07189718912252
2016,Bio Methane,Public,Auxiliary Equipment,0.06462762277540994
2016,Bio Methane,Public,Space Cooling,9.090149759292922
2016,Bio Methane,Public,Space Heating,0.04189533728850762
2016,Bio Methane,Public,Water Heating,49.768754140845346
2016,Bio Methane,Residential,Space Heating,251.99798207842866
2016,Bio Methane,Residential,Water Heating,36.24139589009306
2016,Wood Pellet,Residential,Space Heating,0.263652835897524
2016,Wood Pellet,Residential,Water Heating,10.23065205330217
2016,Coal,Industry,Industrial Processes,98.0838384919339
2016,District Cooling,Commercial,Space Cooling,1253.6138707379553
2016,District Cooling,Public,Space Cooling,243.31765360724086
2016,District Cooling,Residential,Space Cooling,81.14493371741831
2016,District Heating,Commercial,Space Heating,3381.552989852957
2016,District Heating,Commercial,Water Heating,551.0759325642434
2016,District Heating,Public,Space Heating,1487.1786967258909
2016,District Heating,Public,Water Heating,333.970217098222
2016,District Heating,Residential,Space Heating,77.28873887562429
2016,District Heating,Residential,Water Heating,953.947155301516
2016,Electricity,Commercial,Auxiliary Equipment,17204.640033078296
2016,Electricity,Commercial,Auxiliary Motors,2266.9613907618477
2016,Electricity,Commercial,Lighting,30018.087371428603
2016,Electricity,Commercial,Space Cooling,2643.201681656276
2016,Electricity,Commercial,Space Heating,1124.5239356717186
2016,Electricity,Commercial,Street Lighting,493.35803860080114
2016,Electricity,Commercial,Water Heating,216.41905703423438
2016,Electricity,Industry,Industrial Processes,2665.4860277678204
2016,Electricity,Industry,Lighting,649.5279282791197
2016,Electricity,Industry,Space Cooling,366.5953037538181
2016,Electricity,Industry,Space Heating,755.5520103014385
2016,Electricity,Industry,Water Heating,1007.6027228998926
2016,Electricity,Public,Auxiliary Equipment,2015.4308129244002
2016,Electricity,Public,Auxiliary Motors,534.8809076053451
2016,Electricity,Public,Lighting,1968.3582076806229
2016,Electricity,Public,Space Cooling,1177.5375995262518
2016,Electricity,Public,Space Heating,789.3254415717631
2016,Electricity,Public,Water Heating,0.33639711693991126
2016,Electricity,Residential,Other Appliances,5863.076845359822
2016,Electricity,Residential,Clothe Dryer,2011.5763183786642
2016,Electricity,Residential,Clothe Washer,118.75190579660375
2016,Electricity,Residential,Dish Washer,144.18439494594668
2016,Electricity,Residential,Freezer,552.9099471434681
2016,Electricity,Residential,Lighting,2461.7616547073644
2016,Electricity,Residential,Range,2047.584608748812
2016,Electricity,Residential,Refrigerator,1738.293773695374
2016,Electricity,Residential,Space Cooling,3067.7698521994007
2016,Electricity,Residential,Space Heating,4071.1071975148034
2016,Electricity,Residential,Water Heating,796.5762708470636
2016,Heavy Fuel Oil,Commercial,Space Heating,1.6196745836617492
2016,Heavy Fuel Oil,Commercial,Water Heating,3.276967464139179
2016,Heavy Fuel Oil,Industry,Industrial Processes,42.57482887023213
2016,Heavy Fuel Oil,Industry,Space Heating,25.354176964357045
2016,Heavy Fuel Oil,Industry,Water Heating,60.66277372264912
2016,Heavy Fuel Oil,Public,Water Heating,0.3324225153478062
2016,Hydrogen,Residential,Space Heating,0.3740746529717484
2016,Hydrogen,Residential,Water Heating,0.168200178728344
2016,Kerosene,Commercial,Space Heating,1.6195980532835177
2016,Kerosene,Commercial,Water Heating,3.2770279192447695
2016,Kerosene,Public,Water Heating,0.3324228212229238
2016,Kerosene,Residential,Space Heating,0.20181371245758517
2016,Kerosene,Residential,Water Heating,6.202346736918475
2016,Light Fuel Oil,Commercial,Space Heating,192.8690137325593
2016,Light Fuel Oil,Commercial,Water Heating,233.06765221703674
2016,Light Fuel Oil,Industry,Industrial Processes,478.6710302043411
2016,Light Fuel Oil,Industry,Space Heating,24.74505345898703
2016,Light Fuel Oil,Industry,Water Heating,44.268767166477666
2016,Light Fuel Oil,Public,Space Heating,343.42399364153476
2016,Light Fuel Oil,Public,Water Heating,0.6127207204471171
2016,Light Fuel Oil,Residential,Space Heating,933.888724478891
2016,Light Fuel Oil,Residential,Water Heating,96.63292405221027
2016,Mix Energy,Industry,Industrial Processes,15263.906314559923
2016,Natural Gas,Commercial,Auxiliary Equipment,2641.2269606145683
2016,Natural Gas,Commercial,Space Cooling,121.86128669324395
2016,Natural Gas,Commercial,Space Heating,36724.4641507004
2016,Natural Gas,Commercial,Water Heating,5876.645470042623
2016,Natural Gas,Industry,Industrial Processes,11656.942211506936
2016,Natural Gas,Industry,Space Cooling,30.206958954562474
2016,Natural Gas,Industry,Space Heating,731.355224784051
2016,Natural Gas,Industry,Water Heating,2870.228162087334
2016,Natural Gas,Public,Auxiliary Equipment,382.7933293435211
2016,Natural Gas,Public,Space Cooling,148.0257068779644
2016,Natural Gas,Public,Space Heating,7247.462938723242
2016,Natural Gas,Public,Water Heating,995.7195792125474
2016,Natural Gas,Residential,Clothe Dryer,139.0051707770233
2016,Natural Gas,Residential,Range,141.50886356144872
2016,Natural Gas,Residential,Space Heating,58092.407587647416
2016,Natural Gas,Residential,Water Heating,16275.505185101661
2016,Pet Coke,Industry,Industrial Processes,236.9516622677745
2016,Propane,Commercial,Auxiliary Equipment,1917.2478571331326
2016,Propane,Commercial,Space Heating,971.4104231964861
2016,Propane,Commercial,Water Heating,99.90862672257252
2016,Propane,Industry,Space Heating,21.86056236638944
2016,Propane,Industry,Water Heating,96.27296372222754
2016,Propane,Residential,Space Heating,0.2696660549952014
2016,Propane,Residential,Water Heating,10.1504068342665
2016,Synthetic Gas,Commercial,Auxiliary Equipment,0.43879259017156946
2016,Synthetic Gas,Commercial,Space Cooling,0.20236850872521614
2016,Synthetic Gas,Commercial,Space Heating,1.4803941801777245
2016,Synthetic Gas,Commercial,Water Heating,0.7410006178563076
2016,Synthetic Gas,Public,Auxiliary Equipment,0.046241958379420266
2016,Synthetic Gas,Public,Space Cooling,0.21200478271148285
2016,Synthetic Gas,Public,Space Heating,0.03125355224780966
2016,Synthetic Gas,Public,Water Heating,0.3872498664262843
2016,Synthetic Gas,Residential,Space Heating,0.762424898978452
2016,Synthetic Gas,Residential,Water Heating,0.30214017926575387
2017,Biomass,Industry,Industrial Processes,85.29557083206842
2017,Biomass,Residential,Space Heating,213.8058212821451
2017,Biomass,Residential,Water Heating,20.586897302473545
2017,Bio Methane,Commercial,Auxiliary Equipment,14.081329165333822
2017,Bio Methane,Commercial,Space Cooling,1.3654153955633053
2017,Bio Methane,Commercial,Space Heating,393.1659232089425
2017,Bio Methane,Commercial,Water Heating,84.17621414864865
2017,Bio Methane,Public,Auxiliary Equipment,1.30872302032725
2017,Bio Methane,Public,Space Cooling,11.303735106731697
2017,Bio Methane,Public,Space Heating,18.353207564607267
2017,Bio Methane,Public,Water Heating,55.574794096904704
2017,Bio Methane,Residential,Space Heating,194.22109556824523
2017,Bio Methane,Residential,Water Heating,112.45305993819535
2017,Wood Pellet,Residential,Space Heating,0.49699871788483796
2017,Wood Pellet,Residential,Water Heating,21.318041658375126
