"Building end use energy service, per subsector, per end use, per type of technology, per energy, and per period."
t_periods,Sub,NewOld,EndUse,Tech_type_1,Tech_type_2,Energy_cat,Efficiency,Output_units,VFlow_Out
2016,Commercial,Old,Auxiliary Equipment,___,___,Electricity,Standard,TJ,17204.640033078296
2016,Commercial,Old,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,1719.5208274107902
2016,Commercial,Old,Auxiliary Equipment,___,___,Propane,Standard,TJ,958.6239285665663
2016,Commercial,Old,Auxiliary Motors,___,___,Electricity,Standard,TJ,2153.7370424508745
2016,Commercial,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,1311.6616507941571
2016,Commercial,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,9594.974264650491
2016,Commercial,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,2815.5778492609616
2016,Commercial,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,9043.1884499386
2016,Commercial,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,42.112532327887095
2016,Commercial,Old,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,42.30134999401965
2016,Commercial,Old,Space Cooling,___,___,District Cooling,___,TJ,1257.6150107378833
2016,Commercial,Old,Space Cooling,___,___,Electricity,Standard,TJ,9367.462759759343
2016,Commercial,Old,Space Cooling,___,___,Natural Gas,Standard,TJ,433.86677114681584
2016,Commercial,Old,Space Heating,Furnace,___,Electricity,Standard,TJ,0.7712268229033877
2016,Commercial,Old,Space Heating,Furnace,___,Heavy Fuel Oil,Standard,TJ,1.3281331586026348
2016,Commercial,Old,Space Heating,Furnace,___,Kerosene,Standard,TJ,1.3280704036924837
2016,Commercial,Old,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,150.9858399141848
2016,Commercial,Old,Space Heating,Furnace,___,Natural Gas,High,TJ,3.068140807147722
2016,Commercial,Old,Space Heating,Furnace,___,Natural Gas,Standard,TJ,29678.95039731385
2016,Commercial,Old,Space Heating,Furnace,___,Propane,Standard,TJ,777.1283385571883
2016,Commercial,Old,Space Heating,Heat Pump,___,Electricity,Standard,TJ,540.9966070924693
2016,Commercial,Old,Space Heating,Plinthe,___,Electricity,Standard,TJ,885.3368856443993
2016,Commercial,Old,Space Heating,___,___,District Heating,___,TJ,3346.3861917327245
2016,Commercial,Old,Street Lighting,Light Emitting Diode,___,Electricity,Standard,TJ,1454.9181123121016
2016,Commercial,Old,Water Heating,___,___,District Heating,___,TJ,548.317667209363
2016,Commercial,Old,Water Heating,___,___,Electricity,Standard,TJ,201.2697230418377
2016,Commercial,Old,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,2.5888042966699523
2016,Commercial,Old,Water Heating,___,___,Kerosene,Standard,TJ,2.5888520562033697
2016,Commercial,Old,Water Heating,___,___,Light Fuel Oil,Standard,TJ,184.12344525145926
2016,Commercial,Old,Water Heating,___,___,Natural Gas,Standard,TJ,4846.575861636672
2016,Commercial,Old,Water Heating,___,___,Propane,Standard,TJ,66.93877990412363
2016,Industry,,Industrial Processes,Self produced,,Mix Energy,,TJ,30527.81262912759
2016,Industry,,Lighting,Self produced,,Mix Energy,,TJ,649.5279282791197
2016,Industry,,Space Cooling,Self produced,,Mix Energy,,TJ,1407.3105112714309
2016,Industry,,Space Heating,Self produced,,Mix Energy,,TJ,1558.8670278752227
2016,Industry,,Water Heating,Self produced,,Mix Energy,,TJ,4079.0353895985813
2016,Public,Old,Auxiliary Equipment,___,___,Electricity,Standard,TJ,2015.4308129244002
2016,Public,Old,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,248.8877293010393
2016,Public,Old,Auxiliary Motors,___,___,Electricity,Standard,TJ,508.1394071172972
2016,Public,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,86.00874259661119
2016,Public,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,629.1580910052775
2016,Public,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,184.62653369684875
2016,Public,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,592.9839323009103
2016,Public,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,2.764152115012892
2016,Public,Old,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,2.7657161126285716
2016,Public,Old,Space Cooling,___,___,District Cooling,___,TJ,243.31765360724086
2016,Public,Old,Space Cooling,___,___,Electricity,Standard,TJ,4165.918762311405
2016,Public,Old,Space Cooling,___,___,Natural Gas,Standard,TJ,542.4642511728979
2016,Public,Old,Space Heating,Furnace,___,Electricity,Standard,TJ,290.0676077576048
2016,Public,Old,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,267.8712912556429
2016,Public,Old,Space Heating,Furnace,___,Natural Gas,Standard,TJ,5798.0288700902165
2016,Public,Old,Space Heating,Plinthe,___,Electricity,Standard,TJ,493.3380867170643
2016,Public,Old,Space Heating,___,___,District Heating,___,TJ,1487.1786967258909
2016,Public,Old,Water Heating,___,___,District Heating,___,TJ,333.970217098222
2016,Public,Old,Water Heating,___,___,Electricity,Standard,TJ,0.3128493187541176
2016,Public,Old,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,0.26261378712476685
2016,Public,Old,Water Heating,___,___,Kerosene,Standard,TJ,0.2626140287661099
2016,Public,Old,Water Heating,___,___,Light Fuel Oil,Standard,TJ,0.48404936915322266
2016,Public,Old,Water Heating,___,___,Natural Gas,Standard,TJ,857.617978240252
2016,Residential,Old,Other Appliances,Other,___,Electricity,Standard,TJ,3602.173435126871
2016,Residential,Old,Clothe Dryer,___,___,Electricity,Standard,TJ,1796.1085263508232
2016,Residential,Old,Clothe Dryer,___,___,Natural Gas,Standard,TJ,124.11551106862305
2016,Residential,Old,Clothe Washer,___,___,Electricity,Standard,TJ,93.31189304590362
2016,Residential,Old,Dish Washer,___,___,Electricity,Standard,TJ,125.65134630290498
2016,Residential,Old,Freezer,___,___,Electricity,Standard,TJ,339.70690672538586
2016,Residential,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,107.56684651149472
2016,Residential,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,786.8675105036885
2016,Residential,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,230.9023955660951
2016,Residential,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,741.625960909832
2016,Residential,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,3.4725781233324877
2016,Residential,Old,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,3.4667860182804757
2016,Residential,Old,Range,___,___,Electricity,Standard,TJ,1389.5986360119482
2016,Residential,Old,Range,___,___,Natural Gas,Standard,TJ,96.0353080229057
2016,Residential,Old,Refrigerator,___,___,Electricity,Standard,TJ,1067.9895107560596
2016,Residential,Old,Space Cooling,Central,___,Electricity,Standard,TJ,10210.6653491994
2016,Residential,Old,Space Cooling,Room,___,Electricity,Standard,TJ,613.4907190158654
2016,Residential,Old,Space Cooling,___,___,District Cooling,___,TJ,81.14493371741831
2016,Residential,Old,Space Heating,Furnace,___,Biomass,Standard,TJ,150.5934153916073
2016,Residential,Old,Space Heating,Furnace,___,Wood Pellet,Standard,TJ,0.2003761552821181
2016,Residential,Old,Space Heating,Furnace,___,Kerosene,Standard,TJ,0.16750538133979567
2016,Residential,Old,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,581.9144116960402
