Year,Canada
1948,12816250.0
1949,13355000.0
1950,13703500.0
1951,14005000.0
1952,14436750.0
1953,14833000.0
1954,15269500.0
1955,15681250.0
1956,16070250.0
1957,16579500.0
1958,17062250.0
1959,17467500.0
1960,17855250.0
1961,18224500.0
1962,18570750.0
1963,18919000.0
1964,19277250.0
1965,19633500.0
1966,19997500.0
1967,20363750.0
1968,20692000.0
1969,20994250.0
1970,21287500.0
1971,21747318.75
1972,22187094.75
1973,22453741.5
1974,22772042.75
1975,23103010.0
1976,23414353.75
1977,23693935.0
1978,23935460.0
1979,24170164.25
1980,24470715.25
1981,24784554.0
1982,25082944.5
1983,25335950.75
1984,25576735.0
1985,25813200.0
1986,26067486.5
1987,26397870.25
1988,26751473.75
1989,27214902.0
1990,27632360.0
1991,27987111.25
1992,28324154.25
1993,28651462.25
1994,28960063.75
1995,29263007.0
1996,29569874.5
1997,29867571.5
1998,30123874.5
1999,30367051.25
2000,30647400.25
2001,30971291.25
2002,31307863.5
2003,31601840.25
2004,31899360.25
2005,32202905.75
2006,32529278.0
2007,32848654.0
2008,33199483.0
2009,33582177.25
2010,33959477.5
2011,34298530.5
2012,34664148.0
2013,35032237.5
2014,35389233.5
2015,35676466.5
2016,36052528.75
2017,36494339.75
2018,37009338.75
2019,37555214.0
2020,37997798.25
2021,38222631.75
2022,38866584.75
2023,39965952.0
