date,Apartment,Row,Semi-detached,Single-detached,All,quarter,year
Q1 1948,,,,,"6,678",Q1,1948
Q2 1948,,,,,"33,090",Q2,1948
Q3 1948,,,,,"31,348",Q3,1948
Q4 1948,,,,,"19,078",Q4,1948
Q1 1949,,,,,"8,473",Q1,1949
Q2 1949,,,,,"31,912",Q2,1949
Q3 1949,,,,,"28,212",Q3,1949
Q4 1949,,,,,"21,912",Q4,1949
Q1 1950,,,,,"9,015",Q1,1950
Q2 1950,,,,,"33,134",Q2,1950
Q3 1950,,,,,"29,796",Q3,1950
Q4 1950,,,,,"20,586",Q4,1950
Q1 1951,,,,,"9,801",Q1,1951
Q2 1951,,,,,"28,664",Q2,1951
Q3 1951,,,,,"19,122",Q3,1951
Q4 1951,,,,,"10,992",Q4,1951
Q1 1952,,,,,"7,268",Q1,1952
Q2 1952,,,,,"28,023",Q2,1952
Q3 1952,,,,,"26,749",Q3,1952
Q4 1952,,,,,"21,206",Q4,1952
Q1 1953,,,,,"11,930",Q1,1953
Q2 1953,,,,,"34,816",Q2,1953
Q3 1953,,,,,"32,925",Q3,1953
Q4 1953,,,,,"22,738",Q4,1953
Q1 1954,,,,,"11,722",Q1,1954
Q2 1954,,,,,"34,676",Q2,1954
Q3 1954,,,,,"37,929",Q3,1954
Q4 1954,,,,,"29,200",Q4,1954
Q1 1955,"3,519",61,948,"8,879","13,407",Q1,1955
Q2 1955,"7,666",537,"3,244","33,852","45,299",Q2,1955
Q3 1955,"8,607",881,"4,082","33,931","47,501",Q3,1955
Q4 1955,"6,966",430,"2,332","22,341","32,069",Q4,1955
Q1 1956,"3,836",292,"1,088","8,919","14,473",Q1,1956
Q2 1956,"8,031",595,"3,538","33,346","45,727",Q2,1956
Q3 1956,"7,498",919,"2,986","28,993","43,237",Q3,1956
Q4 1956,"5,622",457,"1,829","19,362","23,874",Q4,1956
Q1 1957,"2,538",347,880,"4,004","8,410",Q1,1957
Q2 1957,"8,189","1,018","2,814","28,688","40,437",Q2,1957
Q3 1957,"8,951",229,"2,724","25,521","39,678",Q3,1957
Q4 1957,"8,221",620,"2,854","24,742","33,815",Q4,1957
Q1 1958,"7,022",330,"1,068","8,940","17,788",Q1,1958
Q2 1958,"14,346",890,"2,650","37,631","55,413",Q2,1958
Q3 1958,"12,067",589,"3,292","29,007","48,856",Q3,1958
Q4 1958,"13,519",648,"3,703","28,930","42,575",Q4,1958
Q1 1959,"5,421",447,"1,520","8,977","16,365",Q1,1959
Q2 1959,"10,186",792,"3,296","28,435","42,709",Q2,1959
Q3 1959,"10,786",296,"2,887","29,763","43,732",Q3,1959
Q4 1959,"10,398",373,"2,765","25,003","38,539",Q4,1959
Q1 1960,"4,061",209,"1,165","5,683","11,118",Q1,1960
Q2 1960,"8,149",743,"2,706","18,766","30,364",Q2,1960
Q3 1960,"8,582",942,"2,784","23,007","35,315",Q3,1960
Q4 1960,"8,895",407,"3,044","19,715","32,061",Q4,1960
Q1 1961,"6,129",393,"1,414","8,538","16,474",Q1,1961
Q2 1961,"9,383",396,"3,400","24,706","37,885",Q2,1961
Q3 1961,"9,523",566,"3,953","24,720","38,762",Q3,1961
Q4 1961,"10,598",509,"2,883","18,466","32,456",Q4,1961
Q1 1962,"5,208",365,"1,359","9,153","16,085",Q1,1962
Q2 1962,"11,833",847,"3,107","24,136","39,923",Q2,1962
Q3 1962,"10,625",994,"3,640","24,974","40,233",Q3,1962
Q4 1962,"13,269","1,536","2,869","16,180","33,854",Q4,1962
Q1 1963,"7,078",615,776,"8,622","17,091",Q1,1963
Q2 1963,"15,843","1,397","2,199","20,948","40,387",Q2,1963
Q3 1963,"18,419","1,221","2,192","22,410","44,242",Q3,1963
Q4 1963,"18,340",662,"2,724","25,178","46,904",Q4,1963
Q1 1964,"9,915",515,"1,385","11,482","23,297",Q1,1964
Q2 1964,"18,620",859,"1,916","18,577","39,972",Q2,1964
Q3 1964,"23,644","1,336","1,760","20,261","47,001",Q3,1964
Q4 1964,"22,939","2,045","3,645","26,759","55,388",Q4,1964
Q1 1965,"9,972",687,"1,412","10,384","22,455",Q1,1965
Q2 1965,"24,704","1,222","1,784","18,345","46,055",Q2,1965
Q3 1965,"24,264","1,954","1,787","21,546","49,551",Q3,1965
Q4 1965,"18,954","1,443","2,941","25,166","48,504",Q4,1965
Q1 1966,"8,806",898,"1,355","12,016","23,075",Q1,1966
Q2 1966,"15,441","1,289","1,577","16,441","34,748",Q2,1966
Q3 1966,"15,484","1,479","1,476","18,706","37,145",Q3,1966
Q4 1966,"11,820","1,334","2,873","23,479","39,506",Q4,1966
Q1 1967,"7,793",451,"1,035","7,810","17,089",Q1,1967
Q2 1967,"22,772","2,339","3,373","23,064","51,548",Q2,1967
Q3 1967,"22,170","2,841","3,239","24,384","52,634",Q3,1967
Q4 1967,"21,523","1,761","2,292","17,276","42,852",Q4,1967
