,Single,Semi-Detached,Row,Apartment,All,year,month,quarter
1990-01-01,777.0,8.0,35.0,1615.0,2435.0,1990,1,1
1990-02-01,439.0,2.0,276.0,815.0,1532.0,1990,2,1
1990-03-01,502.0,0.0,37.0,1467.0,2006.0,1990,3,1
1990-04-01,716.0,36.0,190.0,898.0,1840.0,1990,4,2
1990-05-01,711.0,10.0,172.0,1091.0,1984.0,1990,5,2
1990-06-01,555.0,14.0,162.0,85.0,816.0,1990,6,2
1990-07-01,646.0,30.0,113.0,1540.0,2329.0,1990,7,3
1990-08-01,234.0,6.0,118.0,561.0,919.0,1990,8,3
1990-09-01,906.0,52.0,141.0,405.0,1504.0,1990,9,3
1990-10-01,628.0,4.0,229.0,256.0,1117.0,1990,10,4
1990-11-01,502.0,8.0,294.0,371.0,1175.0,1990,11,4
1990-12-01,451.0,10.0,100.0,505.0,1066.0,1990,12,4
1991-01-01,236.0,2.0,72.0,702.0,1012.0,1991,1,1
1991-02-01,183.0,0.0,171.0,303.0,657.0,1991,2,1
1991-03-01,418.0,2.0,98.0,159.0,677.0,1991,3,1
1991-04-01,640.0,4.0,352.0,495.0,1491.0,1991,4,2
1991-05-01,819.0,0.0,120.0,324.0,1263.0,1991,5,2
1991-06-01,1367.0,24.0,258.0,567.0,2216.0,1991,6,2
1991-07-01,1517.0,24.0,257.0,683.0,2481.0,1991,7,3
1991-08-01,1169.0,26.0,256.0,498.0,1949.0,1991,8,3
1991-09-01,915.0,70.0,342.0,1299.0,2626.0,1991,9,3
1991-10-01,885.0,40.0,575.0,235.0,1735.0,1991,10,4
1991-11-01,784.0,10.0,354.0,554.0,1702.0,1991,11,4
1991-12-01,526.0,4.0,175.0,300.0,1005.0,1991,12,4
1992-01-01,430.0,0.0,166.0,188.0,784.0,1992,1,1
1992-02-01,352.0,6.0,121.0,852.0,1331.0,1992,2,1
1992-03-01,405.0,10.0,88.0,797.0,1300.0,1992,3,1
1992-04-01,995.0,158.0,420.0,1041.0,2614.0,1992,4,2
1992-05-01,1025.0,52.0,345.0,1257.0,2679.0,1992,5,2
1992-06-01,947.0,70.0,179.0,346.0,1542.0,1992,6,2
1992-07-01,968.0,168.0,157.0,1599.0,2892.0,1992,7,3
1992-08-01,853.0,50.0,112.0,466.0,1481.0,1992,8,3
1992-09-01,765.0,18.0,299.0,838.0,1920.0,1992,9,3
1992-10-01,714.0,28.0,147.0,294.0,1183.0,1992,10,4
1992-11-01,796.0,166.0,227.0,431.0,1620.0,1992,11,4
1992-12-01,777.0,110.0,64.0,473.0,1424.0,1992,12,4
1993-01-01,501.0,116.0,28.0,2.0,647.0,1993,1,1
1993-02-01,543.0,62.0,263.0,174.0,1042.0,1993,2,1
1993-03-01,439.0,46.0,176.0,703.0,1364.0,1993,3,1
1993-04-01,876.0,44.0,75.0,476.0,1471.0,1993,4,2
1993-05-01,1038.0,18.0,247.0,528.0,1831.0,1993,5,2
1993-06-01,707.0,22.0,205.0,51.0,985.0,1993,6,2
1993-07-01,780.0,14.0,134.0,379.0,1307.0,1993,7,3
1993-08-01,636.0,56.0,288.0,2.0,982.0,1993,8,3
1993-09-01,606.0,98.0,211.0,374.0,1289.0,1993,9,3
1993-10-01,626.0,140.0,155.0,613.0,1534.0,1993,10,4
1993-11-01,597.0,150.0,180.0,1158.0,2085.0,1993,11,4
1993-12-01,688.0,112.0,76.0,224.0,1100.0,1993,12,4
1994-01-01,434.0,39.0,169.0,20.0,662.0,1994,1,1
1994-02-01,293.0,28.0,92.0,463.0,876.0,1994,2,1
1994-03-01,487.0,50.0,213.0,254.0,1004.0,1994,3,1
1994-04-01,975.0,234.0,290.0,351.0,1850.0,1994,4,2
1994-05-01,1035.0,130.0,139.0,37.0,1341.0,1994,5,2
1994-06-01,1012.0,232.0,127.0,237.0,1608.0,1994,6,2
1994-07-01,1232.0,130.0,216.0,543.0,2121.0,1994,7,3
1994-08-01,1130.0,70.0,432.0,187.0,1819.0,1994,8,3
1994-09-01,1179.0,202.0,216.0,453.0,2050.0,1994,9,3
1994-10-01,1343.0,148.0,297.0,637.0,2425.0,1994,10,4
1994-11-01,981.0,98.0,323.0,374.0,1776.0,1994,11,4
1994-12-01,710.0,48.0,78.0,75.0,911.0,1994,12,4
1995-01-01,446.0,34.0,190.0,284.0,954.0,1995,1,1
1995-02-01,456.0,2.0,246.0,475.0,1179.0,1995,2,1
1995-03-01,375.0,34.0,176.0,717.0,1302.0,1995,3,1
1995-04-01,669.0,130.0,394.0,360.0,1553.0,1995,4,2
1995-05-01,687.0,98.0,167.0,150.0,1102.0,1995,5,2
1995-06-01,875.0,80.0,183.0,485.0,1623.0,1995,6,2
1995-07-01,391.0,40.0,250.0,231.0,912.0,1995,7,3
1995-08-01,544.0,86.0,234.0,532.0,1396.0,1995,8,3
1995-09-01,621.0,162.0,265.0,395.0,1443.0,1995,9,3
1995-10-01,601.0,50.0,153.0,218.0,1022.0,1995,10,4
